property_type,society,sector,price,price_per_sqrt,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,milan cghs 9,sector 39,2.0,8333.0,3,3,3+,0.0,Old Property,2400.0,0,0,0,0,0,1,0,"28.4434° N, 77.0515° E",28.4434,77.0515
house,not applicable,sector 4,0.65,13000.0,2,1,1,3.0,Moderately Old,500.0,0,0,0,0,0,1,7,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,experion windchants,sector 112,2.8,11470.0,2,3,2,9.0,Relatively New,2441.0,1,1,0,0,0,1,137,"28.5282° N, 77.0176° E",28.5282,77.0176
flat,indiabulls enigma,sector 110,3.3,9850.0,4,5,3,7.0,Relatively New,3032.0,0,1,0,0,0,1,101,"28.5145° N, 77.0197° E",28.5145,77.0197
flat,conscient heritage max,sector 102,2.0,9306.0,3,4,3+,13.0,Relatively New,1900.0,1,1,0,0,0,0,174,"28.4750° N, 77.9715° E",28.475,77.9715
flat,mittal surya vihar,sector 21,1.4,5833.0,5,4,2,2.0,Moderately Old,2172.0,0,0,0,0,0,1,0,"28.5134° N, 77.0723° E",28.5134,77.0723
house,independent,sector 14,3.4,15111.0,3,3,3,1.0,Old Property,2250.0,0,0,0,0,0,1,32,"28.4711° N, 77.0454° E",28.4711,77.0454
flat,suncity heights,sector 54,3.85,16445.0,3,3,3+,8.0,Old Property,2119.0,0,1,0,0,0,1,67,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,ansal sushant lok ci,sector 43,2.0,15151.0,3,3,2,1.0,Old Property,1467.0,0,1,0,0,0,2,15,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,godrej oasis,sector 88a,1.0,6896.0,2,2,3,7.0,Relatively New,1611.0,1,0,0,0,0,1,72,"28.4347° N, 77.9557° E",28.4347,77.9557
flat,la vida by tata housing,sector 113,2.7,16363.0,3,4,3+,4.0,Relatively New,2217.0,0,1,0,0,0,0,49,"28.5287° N, 77.0233° E",28.5287,77.0233
house,unitech espace,sector 50,10.45,32253.0,5,7,3+,3.0,Moderately Old,3240.0,1,1,0,1,1,0,153,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,rof ananda,sector 95,0.31,5644.0,2,2,1,5.0,Relatively New,610.0,0,0,0,1,0,0,74,"28.4172° N, 77.9081° E",28.4172,77.9081
flat,sare green parc phase 3,sector 92,1.1,6875.0,4,3,2,12.0,New Property,1778.0,0,0,0,0,0,1,15,"28.4079° N, 77.9153° E",28.4079,77.9153
flat,not applicable,sector 4,0.42,5600.0,2,2,1,3.0,Relatively New,833.0,0,0,0,0,0,0,26,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,paras dews,sector 106,1.0,7220.0,2,2,3+,2.0,New Property,940.0,0,0,0,0,0,0,21,"28.5007° N, 77.0003° E",28.5007,77.0003
flat,signature global the millennia 3,sector 37d,0.45,7627.0,2,3,2,8.0,Relatively New,656.0,0,0,0,0,0,1,8,"28.4478° N, 77.9703° E",28.4478,77.9703
house,independent,sector 4,0.55,6813.0,2,1,1,1.0,Moderately Old,75.0,0,0,0,0,0,1,0,"28.4738° N, 77.0107° E",28.4738,77.0107
house,independent,sector 104,0.6,5128.0,4,3,1,2.0,Moderately Old,1170.0,0,0,0,0,0,1,0,"28.4788° N, 76.9960° E",28.4788,76.996
flat,m3m golfestate,sector 65,5.0,18518.0,3,3,3+,28.0,Relatively New,2800.0,0,1,0,1,0,0,165,"28.4030° N, 77.0690° E",28.403,77.069
flat,bestech park view city,sector 48,4.25,9334.0,4,5,3+,14.0,Moderately Old,4120.0,1,0,0,0,0,0,81,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,bestech park view residency,sector 2,0.98,6261.0,2,2,3,14.0,Moderately Old,1416.0,1,0,0,0,0,1,92,"28.5095° N, 77.0320° E",28.5095,77.032
flat,godrej,sector 33,0.95,6859.0,2,2,3+,3.0,Under Construction,1253.0,0,0,0,0,0,1,0,"28.4420° N, 77.0207° E",28.442,77.0207
flat,bestech park view city,sector 49,2.9,12169.0,4,4,3+,5.0,Moderately Old,2157.0,0,1,0,0,0,1,117,"28.4121° N, 77.0480° E",28.4121,77.048
flat,ats tourmaline,sector 109,1.5,6976.0,3,4,3+,4.0,Relatively New,1797.0,0,1,0,0,0,1,39,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,corona optus,sector 37c,1.2,6916.0,3,4,3,8.0,Relatively New,1635.0,0,0,0,0,0,1,149,"28.4515° N, 77.9882° E",28.4515,77.9882
flat,m3m skywalk,sector 74,1.57,11000.0,2,2,3+,10.0,Relatively New,1300.0,0,0,0,0,1,1,137,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,emaar gurgaon greens,sector 102,1.35,8181.0,3,3,3,9.0,Relatively New,1315.0,0,1,0,0,0,1,100,"28.4750° N, 77.9715° E",28.475,77.9715
flat,umang monsoon breeze,sector 78,0.8,4836.0,3,2,2,7.0,Moderately Old,1472.0,0,0,0,1,0,1,102,"28.3733° N, 77.9729° E",28.3733,77.9729
flat,sbtl caladium,sector 109,1.88,6153.0,4,5,3,10.0,Relatively New,2765.0,0,0,0,0,0,1,110,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,ansal height 86,sector 86,0.8,5882.0,2,2,0,1.0,Relatively New,1360.0,0,0,0,0,0,1,0,"28.3986° N, 77.9384° E",28.3986,77.9384
house,emaar mgf marbella,sector 66,12.0,37037.0,5,5,3+,3.0,New Property,3240.0,0,1,1,1,0,0,106,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,ansal api celebrity suites,sector 2,0.6,8163.0,1,1,1,5.0,Moderately Old,665.0,0,0,0,0,0,0,67,"28.5095° N, 77.0320° E",28.5095,77.032
flat,emaar mgf palm hills,sector 77,1.25,8620.0,3,4,3,1.0,Relatively New,1611.0,0,1,0,0,0,0,104,"28.3901° N, 77.9845° E",28.3901,77.9845
flat,green court,sector 90,0.47,6811.0,2,2,1,0.0,New Property,767.0,0,0,0,0,0,1,49,"28.4085° N, 77.9369° E",28.4085,77.9369
flat,central park flower valley,sector 33,2.2,10476.0,3,3,3,12.0,New Property,1900.0,0,1,0,0,0,0,49,"28.4420° N, 77.0207° E",28.442,77.0207
house,dlf city plots phase 2,sector 25,15.5,34307.0,5,6,3+,3.0,Moderately Old,4518.0,1,1,1,1,0,1,144,"28.4844° N, 77.0860° E",28.4844,77.086
flat,godrej nature plus,sector 33,1.1,7971.0,2,2,2,14.0,New Property,1533.0,0,0,0,0,0,1,56,"28.4420° N, 77.0207° E",28.442,77.0207
house,independent,sector 23,5.0,16244.0,4,4,2,2.0,Old Property,3078.0,0,0,0,0,0,1,7,"28.5121° N, 77.0478° E",28.5121,77.0478
house,independent,sector 24,6.5,22855.0,4,4,2,2.0,Old Property,2844.0,0,0,0,1,0,1,35,"28.4939° N, 77.1038° E",28.4939,77.1038
flat,ats triumph,sector 104,2.0,8733.0,3,4,3+,4.0,Relatively New,2072.0,0,1,0,0,0,1,60,"28.4788° N, 76.9960° E",28.4788,76.996
flat,tata primanti,sector 72,6.5,15294.0,4,4,3+,0.0,Relatively New,3846.0,1,1,0,1,0,1,67,"28.4225° N, 77.0211° E",28.4225,77.0211
house,independent,sector 57,3.3,19097.0,4,4,2,3.0,Moderately Old,1728.0,0,0,1,0,0,0,60,"28.4232° N, 77.0752° E",28.4232,77.0752
flat,ashiana anmol,sector 33,1.1,8627.0,2,2,2,4.0,New Property,1275.0,0,0,0,0,0,1,0,"28.4420° N, 77.0207° E",28.442,77.0207
flat,lotus elise,sector 99,0.95,6551.0,2,3,3,7.0,Relatively New,1611.0,0,1,0,0,0,1,0,"28.4640° N, 77.9614° E",28.464,77.9614
house,independent,sector 17,3.5,24306.0,2,6,3+,3.0,Old Property,1440.0,0,0,0,0,0,1,0,"28.4791° N, 77.0608° E",28.4791,77.0608
flat,dlf the grove,sector 54,5.7,41245.0,3,3,3,1.0,Moderately Old,1382.0,0,0,0,0,0,1,46,"28.4348° N, 77.1089° E",28.4348,77.1089
house,independent,sector 57,8.0,29630.0,5,4,3,2.0,Relatively New,2700.0,1,1,0,1,0,1,21,"28.4232° N, 77.0752° E",28.4232,77.0752
flat,tulip violet,sector 69,1.85,9203.0,4,4,2,14.0,Relatively New,1819.0,0,0,0,0,0,0,157,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,green court,sector 90,0.4,6389.0,2,2,1,8.0,New Property,575.0,0,0,0,0,0,1,20,"28.4085° N, 77.9369° E",28.4085,77.9369
flat,emaar palm heights,sector 77,1.79,8839.0,3,3,3,1.0,New Property,1600.0,0,1,0,0,0,0,49,"28.3901° N, 77.9845° E",28.3901,77.9845
flat,la vida by tata housing,sector 113,2.78,10334.0,3,4,3+,5.0,Relatively New,2350.0,0,1,0,0,0,1,174,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,sare crescent parc royal greens phase 1,sector 92,0.65,4512.0,3,3,3,1.0,Moderately Old,1304.0,0,0,0,0,0,1,91,"28.4079° N, 77.9153° E",28.4079,77.9153
house,international city by sobha phase 1,sector 109,5.9,24280.0,4,5,2,2.0,Relatively New,2430.0,0,1,0,0,0,0,111,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,shree vardhman flora,sector 90,0.7,4615.0,2,2,3,9.0,New Property,1224.0,1,0,0,0,1,1,51,"28.4085° N, 77.9369° E",28.4085,77.9369
flat,beverley park 1,sector 43,8.44,16230.0,4,5,3,9.0,Moderately Old,5000.0,0,1,0,0,0,2,117,"28.4629° N, 77.0772° E",28.4629,77.0772
house,independent,sector 28,1.39,11583.0,2,2,1,3.0,Old Property,1450.0,0,0,1,0,0,1,37,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,smart world orchard,sector 61,1.41,12250.0,2,2,2,2.0,New Property,1150.0,1,0,0,0,0,1,76,"28.4050° N, 77.0963° E",28.405,77.0963
flat,emaar mgf palm hills,sector 77,1.08,5400.0,3,4,3+,5.0,Relatively New,1810.0,1,1,0,0,1,0,167,"28.3901° N, 77.9845° E",28.3901,77.9845
flat,dlf new town heights,sector 90,1.42,4864.0,4,4,3+,8.0,Moderately Old,2139.0,0,1,1,0,0,1,31,"28.4085° N, 77.9369° E",28.4085,77.9369
flat,adani oyster greens,sector 102,1.9,10058.0,3,3,3+,9.0,Relatively New,2099.0,1,0,1,1,0,1,0,"28.4750° N, 77.9715° E",28.475,77.9715
flat,nbcc heights,sector 89,0.75,6578.0,2,2,2,6.0,Moderately Old,1032.0,0,0,0,0,0,1,0,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,vatika the seven lamps,sector 82,0.89,8850.0,2,2,2,14.0,Relatively New,1202.0,1,0,0,0,0,0,129,"28.3935° N, 76.9600° E",28.3935,76.96
house,bptp visionnaire,sector 70a,4.6,17624.0,4,4,3+,3.0,Moderately Old,2610.0,1,1,1,1,0,1,96,"28.3845° N, 77.0226° E",28.3845,77.0226
flat,sare crescent parc royal greens phase 1,sector 92,0.75,4325.0,4,4,3+,3.0,Relatively New,1734.0,0,0,0,0,0,1,93,"28.4079° N, 77.9153° E",28.4079,77.9153
flat,m3m the tree of life,sector 111,2.35,14551.0,3,3,3+,5.0,Relatively New,1615.0,0,0,0,0,0,1,0,"28.5238° N, 77.0320° E",28.5238,77.032
flat,bestech park view ananda,sector 81,1.4,7734.0,3,3,3+,6.0,Relatively New,1475.0,0,0,0,0,0,1,95,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,godrej nature plus,sector 33,1.5,10200.0,2,2,3+,2.0,New Property,1539.0,0,0,0,0,0,1,87,"28.4420° N, 77.0207° E",28.442,77.0207
flat,godrej,sector 79,1.41,9000.0,2,2,3,3.0,New Property,1747.0,1,0,0,0,0,1,104,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,spaze privy at,sector 84,1.2,7453.0,2,2,3,3.0,Relatively New,1457.0,1,0,0,0,0,0,133,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,m3m capital,sector 113,2.0,12012.0,3,3,2,24.0,Under Construction,1507.0,0,0,0,0,0,1,47,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,tarc maceo,sector 91,1.5,6465.0,3,4,3+,3.0,Relatively New,1786.0,1,1,0,0,0,1,112,"28.4014° N, 77.9225° E",28.4014,77.9225
house,independent,sector 23,5.65,17706.0,7,7,3+,2.0,Moderately Old,5000.0,0,1,0,1,0,1,68,"28.5121° N, 77.0478° E",28.5121,77.0478
flat,apartment,sector 92,0.75,4687.0,3,4,3,2.0,Moderately Old,1778.0,1,0,0,0,0,1,113,"28.4079° N, 77.9153° E",28.4079,77.9153
house,independent,sector 50,11.58,35741.0,5,5,3,2.0,Moderately Old,3240.0,0,1,0,0,0,1,20,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,ss the leaf,sector 85,1.09,6666.0,2,2,3,9.0,Relatively New,1638.0,0,0,1,0,0,1,174,"28.4042° N, 77.9513° E",28.4042,77.9513
flat,park view apartments,sector 15,1.6,11034.0,3,3,3+,2.0,Moderately Old,1611.0,0,0,0,1,0,1,56,"28.4621° N, 77.0464° E",28.4621,77.0464
flat,signature global synera,sector 81,0.5,6802.0,2,2,3,6.0,Relatively New,700.0,0,0,0,0,0,1,117,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,aipl the peaceful homes,sector 70a,1.6,9584.0,2,2,2,22.0,Moderately Old,1416.0,0,0,0,0,0,1,86,"28.3845° N, 77.0226° E",28.3845,77.0226
house,international city by sobha phase 2,sector 109,6.8,12593.0,4,5,3,2.0,Relatively New,5400.0,0,1,0,0,0,1,49,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,bestech park view residency,sector 2,1.26,8051.0,2,2,3,7.0,Moderately Old,1416.0,1,0,0,0,0,1,84,"28.5095° N, 77.0320° E",28.5095,77.032
flat,tulip violet,sector 69,2.0,9950.0,4,4,2,0.0,Relatively New,1819.0,0,0,0,0,0,1,95,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,puri diplomatic greens,sector 111,3.5,11864.0,4,5,3+,10.0,Relatively New,2700.0,0,1,0,0,0,0,49,"28.5238° N, 77.0320° E",28.5238,77.032
flat,emaar palm gardens,sector 83,1.35,12325.0,3,3,3,7.0,Relatively New,1387.0,0,1,0,0,0,1,24,"28.3986° N, 77.9647° E",28.3986,77.9647
flat,godrej,sector 79,1.93,8532.0,3,4,3+,5.0,Relatively New,2047.0,0,1,0,0,0,1,158,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,smart world orchard,sector 61,2.2,13496.0,3,3,2,3.0,New Property,1811.0,0,0,0,0,0,1,16,"28.4050° N, 77.0963° E",28.405,77.0963
flat,godrej aria,sector 79,1.0,6653.0,2,2,2,4.0,Relatively New,1300.0,1,0,0,0,0,1,49,"28.3624° N, 76.9787° E",28.3624,76.9787
house,independent,sector 8,0.82,10224.0,2,4,0,2.0,Moderately Old,891.0,0,0,0,0,0,1,0,"28.4668° N, 77.0225° E",28.4668,77.0225
house,independent,sector 23,1.2,6230.0,3,2,2,3.0,New Property,1500.0,0,0,0,0,0,0,79,"28.5121° N, 77.0478° E",28.5121,77.0478
house,ansals palam vihar,sector 2,4.0,16666.0,4,4,3+,2.0,Moderately Old,2400.0,0,1,0,0,0,1,0,"28.5095° N, 77.0320° E",28.5095,77.032
flat,dlf regal gardens,sector 90,1.29,9020.0,3,3,3,7.0,Relatively New,1540.0,1,0,0,0,0,1,174,"28.4085° N, 77.9369° E",28.4085,77.9369
flat,antriksh heights,sector 84,1.02,4868.0,4,4,3+,11.0,Relatively New,1896.0,0,1,0,1,0,1,99,"28.3979° N, 76.9736° E",28.3979,76.9736
flat,ireo the grand arch,sector 58,3.83,21577.0,3,4,2,10.0,Relatively New,2000.0,1,1,0,0,0,0,174,"28.4200° N, 77.1105° E",28.42,77.1105
house,independent,sector 6,1.0,4630.0,6,4,0,3.0,Moderately Old,240.0,0,0,0,0,0,1,0,"28.4745° N, 77.0262° E",28.4745,77.0262
flat,indiabulls centrum park,sector 103,1.34,7882.0,3,3,3+,12.0,Relatively New,1725.0,1,1,1,1,0,0,38,"28.4949° N, 77.9845° E",28.4949,77.9845
house,dlf city plots,sector 26,12.5,38580.0,4,5,2,2.0,Moderately Old,3240.0,1,1,0,0,0,0,121,"28.4757° N, 77.1032° E",28.4757,77.1032
flat,ild grand,sector 37c,1.35,7142.0,3,3,0,1.0,New Property,1820.0,0,0,0,0,0,1,60,"28.4515° N, 77.9882° E",28.4515,77.9882
flat,shapoorji pallonji joyville gurugram,sector 102,2.5,14000.0,3,3,3,15.0,Relatively New,1653.0,0,0,0,0,0,1,151,"28.4750° N, 77.9715° E",28.475,77.9715
flat,m3m heights,sector 65,2.15,15003.0,2,2,3+,28.0,Relatively New,1433.0,0,0,0,0,0,1,48,"28.4030° N, 77.0690° E",28.403,77.069
flat,the close north,sector 50,2.35,11358.0,3,3,3,8.0,Moderately Old,1900.0,0,0,0,0,0,0,49,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,m3m skywalk,sector 74,2.25,13636.0,3,3,2,9.0,Relatively New,1938.0,0,1,0,0,0,0,174,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,orchid petals,sector 49,2.45,11887.0,3,3,3,0.0,Relatively New,1865.0,1,0,0,0,0,1,49,"28.4121° N, 77.0480° E",28.4121,77.048
flat,rof ananda,sector 95,0.36,5658.0,2,2,2,10.0,New Property,717.0,1,0,0,0,0,1,75,"28.4172° N, 77.9081° E",28.4172,77.9081
flat,bestech park view ananda,sector 81,1.35,7541.0,3,3,3+,10.0,Moderately Old,1438.0,0,0,1,0,0,0,72,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,pyramid elite,sector 86,0.45,7846.0,2,2,1,12.0,Under Construction,637.0,0,0,0,0,0,1,30,"28.3986° N, 77.9384° E",28.3986,77.9384
flat,tarc maceo,sector 91,0.89,6339.0,2,2,3+,9.0,Relatively New,1302.0,0,0,0,0,1,0,13,"28.4014° N, 77.9225° E",28.4014,77.9225
flat,smart world gems,sector 89,1.2,8433.0,3,3,2,2.0,New Property,1423.0,0,0,0,0,0,1,45,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,ambience creacions,sector 22,4.3,13915.0,3,4,3+,6.0,Relatively New,2600.0,0,1,0,0,1,2,120,"28.5072° N, 77.0640° E",28.5072,77.064
flat,ats triumph,sector 104,2.65,8412.0,4,4,3+,10.0,Relatively New,2851.0,0,1,0,0,0,1,174,"28.4788° N, 76.9960° E",28.4788,76.996
flat,m3m sierra 68,sector 68,1.25,10245.0,2,2,3,4.0,New Property,938.0,0,0,0,0,0,1,44,"28.3853° N, 77.0484° E",28.3853,77.0484
flat,spaze privy,sector 72,3.1,6692.0,4,5,3+,8.0,Moderately Old,3374.0,1,1,1,1,0,1,136,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,the close north,sector 50,2.7,9980.0,3,3,3+,3.0,Moderately Old,2357.0,0,1,0,0,0,1,117,"28.4178° N, 77.0628° E",28.4178,77.0628
flat,chd avenue,sector 71,1.16,6655.0,3,3,3,5.0,Moderately Old,1577.0,0,1,0,0,0,0,73,"28.4104° N, 77.0281° E",28.4104,77.0281
flat,shapoorji pallonji joyville gurugram,sector 102,0.95,10383.0,2,2,2,14.0,Relatively New,915.0,0,0,0,0,0,1,0,"28.4750° N, 77.9715° E",28.475,77.9715
flat,pyramid elite,sector 86,0.45,7739.0,2,2,1,4.0,Relatively New,646.0,0,0,0,0,0,1,66,"28.3986° N, 77.9384° E",28.3986,77.9384
flat,tulip violet,sector 69,1.37,8675.0,3,3,1,12.0,Relatively New,1568.0,0,0,0,1,0,1,95,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,shree vardhman flora,sector 90,0.65,4814.0,2,2,3,6.0,Relatively New,1222.0,1,0,0,0,0,1,165,"28.4085° N, 77.9369° E",28.4085,77.9369
flat,godrej oasis,sector 88a,1.15,7116.0,2,2,3,14.0,Relatively New,1380.0,1,0,0,1,0,1,174,"28.4347° N, 77.9557° E",28.4347,77.9557
flat,hero homes,sector 104,1.9,11249.0,3,3,3,16.0,Relatively New,1365.0,0,0,0,1,0,0,103,"28.4788° N, 76.9960° E",28.4788,76.996
house,independent,sector 2,4.99,18889.0,4,4,3+,3.0,Moderately Old,2642.0,0,1,1,1,0,1,43,"28.5095° N, 77.0320° E",28.5095,77.032
house,independent,sector 41,4.25,26235.0,2,9,3+,4.0,Moderately Old,1620.0,1,1,0,0,0,0,36,"28.4557° N, 77.0632° E",28.4557,77.0632
house,dlf city plots phase 2,sector 25,4.25,31481.0,3,2,3,2.0,Old Property,1350.0,1,0,0,0,0,1,35,"28.4844° N, 77.0860° E",28.4844,77.086
house,ansal api spanish court,sector 2,2.9,18626.0,4,4,3,2.0,Relatively New,1557.0,0,0,1,0,0,0,49,"28.5095° N, 77.0320° E",28.5095,77.032
flat,tata primanti,sector 72,3.3,15102.0,3,4,3+,15.0,New Property,2185.0,0,1,0,0,0,2,174,"28.4225° N, 77.0211° E",28.4225,77.0211
flat,shri ram apartments,sector 4,0.46,5111.0,2,2,1,1.0,Relatively New,1000.0,0,0,0,0,0,0,69,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,tulip violet,sector 69,1.7,8623.0,4,4,1,12.0,Relatively New,1783.0,0,0,0,0,0,1,88,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,bestech park view ananda,sector 81,0.95,10626.0,2,2,2,2.0,Relatively New,1112.0,0,0,0,0,0,0,104,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,signature global orchard avenue,sector 93,0.85,14237.0,2,2,0,10.0,Relatively New,597.0,0,0,0,0,0,1,0,"28.4153° N, 76.9326° E",28.4153,76.9326
flat,godrej,sector 79,1.47,16256.0,2,2,3,9.0,New Property,93.0,1,0,0,0,0,1,99,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,bestech park view ananda,sector 81,0.9,6618.0,2,2,3,8.0,New Property,1231.0,0,0,0,0,1,1,60,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,cghs vidya enclave,sector 56,1.7,10967.0,3,2,3,6.0,Old Property,1585.0,0,0,1,0,0,1,101,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,shapoorji pallonji joyville gurugram,sector 102,2.12,16960.0,3,3,3,9.0,Relatively New,1852.0,0,0,0,0,0,1,72,"28.4750° N, 77.9715° E",28.475,77.9715
flat,bestech park view residency,sector 2,1.36,7646.0,3,3,3+,5.0,Moderately Old,1611.0,0,0,0,0,0,1,84,"28.5095° N, 77.0320° E",28.5095,77.032
flat,conscient heritage max,sector 102,2.2,10237.0,3,4,3+,9.0,Moderately Old,1945.0,1,1,0,0,0,1,125,"28.4750° N, 77.9715° E",28.475,77.9715
flat,emaar mgf the palm drive,sector 66,3.45,15681.0,3,4,3,6.0,Relatively New,2000.0,0,1,0,0,0,0,95,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,rof ananda,sector 95,0.32,5736.0,2,2,1,10.0,Relatively New,610.0,0,0,0,1,0,0,50,"28.4172° N, 77.9081° E",28.4172,77.9081
house,uppal southend,sector 49,3.75,25562.0,2,6,3,3.0,Moderately Old,1467.0,0,0,0,0,1,1,49,"28.4121° N, 77.0480° E",28.4121,77.048
flat,dlf new town heights,sector 91,1.8,7679.0,4,4,3+,6.0,Moderately Old,2604.0,0,1,0,1,0,1,81,"28.4014° N, 77.9225° E",28.4014,77.9225
house,independent,sector 24,2.6,24074.0,4,4,3+,4.0,Relatively New,1080.0,1,0,1,1,0,2,0,"28.4939° N, 77.1038° E",28.4939,77.1038
flat,ats triumph,sector 104,2.62,8317.0,4,4,3+,14.0,Relatively New,2851.0,0,1,0,0,0,1,174,"28.4788° N, 76.9960° E",28.4788,76.996
house,independent,sector 55,3.55,24500.0,4,4,3+,2.0,Old Property,1449.0,0,0,0,0,0,0,27,"28.4281° N, 77.1100° E",28.4281,77.11
flat,rof ananda,sector 95,0.2,5463.0,1,1,1,10.0,Relatively New,407.0,0,0,0,0,0,1,82,"28.4172° N, 77.9081° E",28.4172,77.9081
flat,m3m skywalk,sector 74,1.52,13342.0,2,2,3,6.0,Relatively New,1250.0,0,0,1,0,0,1,174,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,signature global solera,sector 107,0.38,6333.0,2,2,2,3.0,Relatively New,627.0,0,0,0,0,0,2,23,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,m3m woodshire,sector 107,1.15,7496.0,2,2,3,0.0,Relatively New,1281.0,1,0,0,0,0,1,29,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,ireo the corridors,sector 67a,1.8,14658.0,3,3,3,6.0,New Property,1551.0,0,1,1,0,0,0,150,"28.3802° N, 77.0674° E",28.3802,77.0674
flat,puri diplomatic greens,sector 111,3.7,12542.0,4,5,3+,12.0,Relatively New,2650.0,0,1,0,0,0,0,158,"28.5238° N, 77.0320° E",28.5238,77.032
flat,the arzoo cghs,sector 51,2.1,9130.0,4,4,3,1.0,Relatively New,2300.0,0,0,0,0,0,1,58,"28.4320° N, 77.0686° E",28.432,77.0686
flat,breez global heights,sector 36,0.24,5825.0,1,1,1,8.0,New Property,458.0,0,0,0,0,0,1,57,"28.4160° N, 77.9914° E",28.416,77.9914
flat,orris aster court,sector 85,0.67,5825.0,2,2,2,5.0,Relatively New,1250.0,0,0,0,0,1,0,174,"28.4042° N, 77.9513° E",28.4042,77.9513
flat,park royal apartment,sector 56,1.85,9024.0,3,4,3,7.0,Old Property,2278.0,0,1,0,0,0,1,72,"28.4245° N, 77.0991° E",28.4245,77.0991
flat,dlf the skycourt,sector 86,1.55,8031.0,3,3,1,12.0,Relatively New,1900.0,0,0,0,1,0,0,153,"28.3986° N, 77.9384° E",28.3986,77.9384
flat,pareena mi casa,sector 68,1.7,8500.0,4,4,3+,23.0,New Property,1809.0,0,0,0,0,0,1,88,"28.3853° N, 77.0484° E",28.3853,77.0484
flat,bestech park view residency,sector 2,0.56,8632.0,1,1,2,6.0,Moderately Old,723.0,0,0,0,0,0,1,77,"28.5095° N, 77.0320° E",28.5095,77.032
flat,hero homes,sector 104,1.2,17548.0,2,2,2,22.0,Relatively New,877.0,0,0,0,0,0,1,30,"28.4788° N, 76.9960° E",28.4788,76.996
flat,signature global solera,sector 107,0.37,6751.0,2,2,1,10.0,Relatively New,496.0,0,0,0,0,0,1,73,"28.5052° N, 76.9729° E",28.5052,76.9729
flat,dlf regency park,sector 28,1.6,14545.0,2,2,2,3.0,Relatively New,1222.0,0,0,0,0,0,1,52,"28.4728° N, 77.0865° E",28.4728,77.0865
house,independent,sector 9,0.6,10753.0,2,2,1,1.0,Moderately Old,558.0,0,0,0,0,0,1,8,"28.4603° N, 77.0000° E",28.4603,77.0
house,suncity township,sector 54,2.0,3440.0,9,9,3,11.0,Relatively New,60.0,0,1,0,0,0,2,7,"28.4348° N, 77.1089° E",28.4348,77.1089
flat,ss the leaf,sector 85,1.2,7317.0,2,2,3,6.0,Relatively New,1300.0,0,0,0,0,0,0,174,"28.4042° N, 77.9513° E",28.4042,77.9513
house,independent,sector 23,5.1,16569.0,3,2,0,1.0,Old Property,3078.0,0,0,0,0,1,1,27,"28.5121° N, 77.0478° E",28.5121,77.0478
house,independent,sector 25,11.0,35530.0,5,5,3+,2.0,Relatively New,3096.0,1,1,1,1,0,1,29,"28.4844° N, 77.0860° E",28.4844,77.086
house,independent,sector 47,5.15,26615.0,3,9,3+,3.0,Relatively New,1935.0,0,0,1,0,0,0,75,"28.4276° N, 77.0492° E",28.4276,77.0492
flat,dlf regal gardens,sector 90,1.24,7065.0,3,3,3+,9.0,Relatively New,1600.0,0,0,0,0,1,1,72,"28.4085° N, 77.9369° E",28.4085,77.9369
