property_type,society,sector,price,price_per_sqrt,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
flat,dlf new town heights,sector 90,1.55,6556.0,4,4,3+,1.0,Relatively New,2139.0,0,1,0,1,0,1,81,"28.4085° N, 77.9369° E",28.4085,77.9369
flat,palam vihar extension west zone rwa,sector 2,0.2,4000.0,1,1,1,1.0,Moderately Old,556.0,0,0,0,0,1,1,0,"28.5095° N, 77.0320° E",28.5095,77.032
flat,ireo skyon,sector 60,2.5,16129.0,2,3,2,4.0,Relatively New,1403.0,1,0,0,0,0,1,100,"28.4003° N, 77.0975° E",28.4003,77.0975
flat,indiabulls enigma,sector 110,3.7,10882.0,4,5,3,7.0,Relatively New,3077.0,0,1,0,0,0,1,156,"28.5145° N, 77.0197° E",28.5145,77.0197
flat,umang monsoon breeze,sector 78,0.88,4746.0,3,4,3,8.0,Moderately Old,1668.0,0,1,0,1,0,1,111,"28.3733° N, 77.9729° E",28.3733,77.9729
flat,today callidora,sector 73,0.9,5548.0,3,3,3,3.0,Under Construction,1622.0,0,1,0,0,0,1,63,"28.4072° N, 77.0118° E",28.4072,77.0118
flat,mapsko mount ville,sector 79,1.25,7716.0,3,3,2,1.0,Relatively New,1212.0,1,0,0,1,0,0,166,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,avl 36 gurgaon,sector 36a,0.36,8990.0,1,1,1,7.0,Relatively New,407.0,0,0,0,0,0,1,95,"28.4147° N, 76.9780° E",28.4147,76.978
house,international city by sobha phase 1,sector 109,5.5,21605.0,4,4,3+,2.0,New Property,2430.0,0,1,0,0,0,1,61,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,earth copia,sector 112,0.7,4673.0,2,2,2,4.0,Relatively New,1498.0,0,0,0,0,0,1,65,"28.5282° N, 77.0176° E",28.5282,77.0176
flat,shree vardhman victoria,sector 70,1.65,8461.0,3,3,2,6.0,Relatively New,2167.0,1,0,0,0,0,1,72,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,godrej,sector 79,1.29,8206.0,2,2,3,4.0,New Property,1423.0,0,0,0,0,0,1,0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,emaar mgf palm terraces select,sector 66,3.4,14107.0,4,4,3+,2.0,Relatively New,2210.0,0,1,0,0,0,0,157,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,signature global city,sector 37d,1.1,8494.0,3,3,2,2.0,Relatively New,1439.0,0,0,0,0,0,1,36,"28.4478° N, 77.9703° E",28.4478,77.9703
flat,apna enclave,sector 3,0.8,6153.0,3,3,1,0.0,Old Property,1000.0,0,0,0,0,0,1,0,"28.4909° N, 77.0176° E",28.4909,77.0176
flat,signature global synera,sector 81,0.4,6319.0,2,2,1,12.0,Relatively New,586.0,0,0,0,0,0,1,23,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,pyramid urban homes 2,sector 86,0.42,8483.0,2,2,1,2.0,New Property,557.0,1,1,0,1,1,1,84,"28.3986° N, 77.9384° E",28.3986,77.9384
flat,bestech park view grand spa,sector 81,3.0,9419.0,4,5,2,6.0,Relatively New,2882.0,0,1,0,0,0,0,110,"28.3867° N, 76.9485° E",28.3867,76.9485
house,international city by sobha phase 2,sector 109,7.0,11240.0,5,5,3+,2.0,Relatively New,6228.0,0,1,0,0,0,1,129,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,shree vardhman flora,sector 90,1.25,4854.0,4,5,2,8.0,Relatively New,2330.0,1,1,0,0,0,1,165,"28.4085° N, 77.9369° E",28.4085,77.9369
flat,signature global city 37d ph 2,sector 37d,1.07,8237.0,3,3,2,2.0,Relatively New,1450.0,0,0,0,0,0,1,86,"28.4478° N, 77.9703° E",28.4478,77.9703
flat,ss the leaf,sector 85,1.07,6524.0,2,2,3,21.0,Relatively New,1484.0,0,0,0,1,0,1,67,"28.4042° N, 77.9513° E",28.4042,77.9513
flat,experion the heartsong,sector 108,1.2,6825.0,3,2,3+,11.0,Relatively New,1550.0,0,1,0,1,0,0,174,"28.5134° N, 77.9830° E",28.5134,77.983
house,satya the legend,sector 57,9.25,16577.0,5,5,3+,4.0,Relatively New,5580.0,1,1,1,1,0,0,160,"28.4232° N, 77.0752° E",28.4232,77.0752
flat,ramsons kshitij,sector 95,0.32,4500.0,2,2,1,8.0,Relatively New,563.0,0,0,0,0,1,2,28,"28.4172° N, 77.9081° E",28.4172,77.9081
flat,unitech fresco,sector 50,1.14,8532.0,2,2,2,19.0,Moderately Old,1330.0,0,0,0,0,1,0,174,"28.4178° N, 77.0628° E",28.4178,77.0628
house,international city by sobha phase 2,sector 109,6.25,10035.0,5,7,3+,3.0,Relatively New,6228.0,1,1,1,1,0,1,147,"28.5073° N, 77.0089° E",28.5073,77.0089
flat,signature global city 81,sector 81,0.89,8279.0,2,2,2,3.0,Relatively New,1194.0,0,0,0,0,1,1,20,"28.3867° N, 76.9485° E",28.3867,76.9485
flat,central park flower valley,sector 33,2.5,13270.0,3,3,2,1.0,New Property,2093.0,0,0,0,0,0,1,66,"28.4420° N, 77.0207° E",28.442,77.0207
house,independent,sector 43,2.5,2885.0,7,7,3,4.0,Relatively New,963.0,0,0,0,0,1,2,20,"28.4629° N, 77.0772° E",28.4629,77.0772
flat,tulip violet,sector 69,2.0,10167.0,4,4,1,12.0,Relatively New,2186.0,0,0,0,0,0,1,79,"28.3966° N, 77.0341° E",28.3966,77.0341
house,independent,sector 21,0.6,6173.0,3,3,2,3.0,Old Property,972.0,0,0,0,0,0,1,0,"28.5134° N, 77.0723° E",28.5134,77.0723
flat,hsiidc sidco aravali,manesar,0.9,3477.0,3,3,3,2.0,Old Property,1900.0,0,1,0,0,0,2,21,"28.3515° N, 76.9428° E",28.3515,76.9428
flat,godrej nature plus,sector 33,1.65,14335.0,2,2,3,1.0,Under Construction,1279.0,0,0,0,0,0,1,38,"28.4420° N, 77.0207° E",28.442,77.0207
flat,sapphire eighty three,sector 83,0.65,9286.0,1,1,0,6.0,Relatively New,700.0,0,0,0,0,0,1,0,"28.3986° N, 77.9647° E",28.3986,77.9647
house,independent,sector 4,0.58,9619.0,2,2,1,2.0,Moderately Old,67.0,0,0,0,1,1,1,7,"28.4738° N, 77.0107° E",28.4738,77.0107
flat,parkwood westend,sector 92,0.7,5204.0,2,2,3,5.0,Under Construction,1217.0,1,0,0,0,0,1,0,"28.4079° N, 77.9153° E",28.4079,77.9153
flat,bestech park view spa next,sector 67,2.7,11489.0,4,4,3+,9.0,Moderately Old,2127.0,0,1,0,1,0,0,149,"28.3859° N, 77.0608° E",28.3859,77.0608
flat,aipl club residences,sector 70a,0.95,10215.0,2,2,1,11.0,New Property,930.0,0,0,0,0,0,0,103,"28.3845° N, 77.0226° E",28.3845,77.0226
flat,bptp terra,sector 37d,1.79,8983.0,4,3,3,15.0,Relatively New,1808.0,0,0,0,0,1,0,37,"28.4478° N, 77.9703° E",28.4478,77.9703
flat,signature global city,sector 37d,0.8,8421.0,2,2,2,2.0,Relatively New,860.0,0,0,0,0,0,1,42,"28.4478° N, 77.9703° E",28.4478,77.9703
flat,essel towers,sector 14,2.2,12500.0,3,4,3+,3.0,Old Property,1956.0,0,0,0,0,0,1,0,"28.4711° N, 77.0454° E",28.4711,77.0454
flat,m3m skycity,sector 65,3.5,17039.0,3,3,3,15.0,New Property,2282.0,1,1,0,1,0,0,166,"28.4030° N, 77.0690° E",28.403,77.069
